country,socialNbFollowers,socialNbFollows,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,seniority,sellerRating,totalProductsSold,daysSinceLastLogin,socialProductsLiked
Germany,10,8,2.0,0,0.0,0,0,F,True,True,True,True,3201,0.0,1.0,28,21.0
United_Kingdom,10,8,8.0,0,0.0,1,0,F,True,False,True,True,3195,0.0,0.0,21,4.0
Germany,11,10,1.0,0,0.0,14,0,F,False,False,False,True,3198,-7.0,0.0,27,26.0
Italy,32,52,27.0,3,0.0,67,11,M,True,False,True,False,2859,0.0,4.0,81,60.0
United_States,11,10,5.0,0,0.0,1,0,M,True,False,True,True,2859,0.0,0.0,10,21.0
Spain,10,8,10.0,0,0.0,9,0,F,False,False,False,True,2856,1.0,1.0,4,52.0
France,17,9,41.0,0,0.0,22,2,F,True,True,False,True,3204,0.0,0.0,11,130.0
United_Kingdom,10,8,7.0,0,0.0,4,0,M,True,False,True,True,2856,0.0,0.0,4,25.0
Spain,11,8,12.0,0,0.0,8,4,F,False,False,False,True,2859,0.0,0.0,8,63.0
United_Kingdom,13,8,6.0,5,40.0,170,4,M,True,False,True,True,3196,40.0,6.0,23,6.0
United_Kingdom,10,8,7.0,0,0.0,3,0,F,False,False,False,True,3195,0.0,0.0,27,15.0
United_Kingdom,10,8,8.0,0,0.0,22,0,M,True,False,True,True,3204,0.0,1.0,8,9.0
United_States,11,8,4.0,0,0.0,0,1,M,True,True,True,True,3203,0.0,1.0,17,56.0
France,11,10,35.0,0,0.0,5,0,M,True,False,True,False,2854,0.0,0.0,11,121.0
United_States,10,9,4.0,0,0.0,0,0,F,True,False,True,True,3204,0.0,0.0,17,14.0
Italy,10,8,31.0,0,0.0,0,0,F,True,False,True,True,3204,1.0,0.0,56,57.0
United_States,10,8,5.0,0,0.0,1,0,F,True,False,True,True,3203,0.0,0.0,19,55.0
France,10,8,34.0,2,0.0,0,0,F,False,False,False,True,3195,0.0,3.0,12,105.0
France,10,9,38.0,0,0.0,0,0,M,False,False,False,True,3196,0.0,1.0,12,159.0
Spain,10,8,14.0,0,0.0,4,0,F,False,False,False,True,3196,1.0,0.0,98,50.0
Germany,16,9,1.0,0,0.0,0,3,M,True,False,True,True,3200,0.0,0.0,27,24.0
Spain,12,8,14.0,9,66.0,3,0,M,True,False,True,True,2859,66.0,9.0,2,67.0
Germany,17,8,1.0,0,0.0,2,3,F,True,False,True,True,2858,0.0,0.0,31,27.0
Italy,10,8,25.0,0,0.0,11,0,M,True,False,True,True,2858,1.0,0.0,97,74.0
France,10,8,36.0,0,0.0,0,0,M,True,False,True,True,3200,0.0,1.0,11,133.0
Germany,10,8,1.0,0,0.0,1,0,F,True,False,True,True,3201,-11.0,1.0,33,18.0
United_States,10,9,5.0,1,0.0,1,0,F,False,False,False,True,2855,0.0,2.0,92,87.0
Germany,10,8,1.0,0,0.0,3,0,F,True,True,False,True,3196,0.0,0.0,24,20.0
Germany,10,8,1.0,0,0.0,3,0,M,False,False,False,True,3202,0.0,1.0,25,22.0
Spain,10,8,15.0,0,0.0,0,0,F,True,True,False,True,3196,0.0,0.0,6,53.0
France,10,8,42.0,0,0.0,1,0,M,True,False,True,True,2859,0.0,2.0,10,72.0
Italy,10,8,28.0,0,0.0,15,0,F,False,False,False,True,3196,0.0,0.0,78,79.0
United_States,13,8,4.0,0,0.0,578,7,F,True,False,True,True,3201,0.0,0.0,4,51.0
United_States,10,8,4.0,0,0.0,0,0,F,False,False,False,True,3200,0.0,0.0,16,65.0
France,14,8,39.0,1,0.0,3,0,F,True,False,True,False,2857,-9.0,1.0,14,151.0
France,29,8,41.0,10,100.0,0,0,M,True,False,True,False,3199,100.0,8.0,12,164.0
United_States,10,8,4.0,0,0.0,0,0,F,False,False,False,True,3197,0.0,0.0,27,53.0
France,10,8,41.0,0,0.0,0,0,M,True,False,True,True,3204,0.0,0.0,14,125.0
United_States,10,8,5.0,0,0.0,0,0,F,True,False,True,True,3200,0.0,0.0,87,71.0
Germany,12,8,1.0,0,0.0,0,4,F,False,False,False,True,3205,0.0,0.0,32,22.0
United_States,10,8,4.0,0,0.0,0,3,M,False,False,False,True,2858,0.0,1.0,97,55.0
France,13,9,36.0,0,0.0,1,0,F,True,False,True,True,3204,0.0,0.0,11,109.0
United_States,11,8,5.0,0,0.0,0,0,F,False,False,False,True,3196,1.0,1.0,98,68.0
France,10,8,39.0,0,0.0,0,0,F,False,False,False,True,2854,1.0,0.0,15,80.0
United_States,12,8,5.0,0,0.0,0,0,F,False,False,False,True,2856,1.0,0.0,25,129.0
France,10,8,34.0,0,0.0,0,0,F,False,False,False,True,3203,0.0,0.0,16,149.0
United_Kingdom,12,8,8.0,0,0.0,5,1,F,True,False,True,False,2854,1.0,0.0,28,5.0
France,10,8,39.0,0,0.0,0,0,F,False,False,False,True,3203,0.0,0.0,18,110.0
France,10,8,39.0,0,0.0,3,0,M,False,False,False,True,3205,0.0,0.0,13,79.0
Germany,10,8,1.0,0,0.0,0,0,M,False,False,False,True,3201,0.0,0.0,47,27.0
Germany,10,8,1.0,0,0.0,11,0,F,True,False,True,True,3199,0.0,0.0,30,23.0
France,10,8,42.0,0,0.0,0,0,F,True,False,True,True,2853,0.0,0.0,16,147.0
France,10,8,38.0,0,0.0,10,0,F,False,False,False,True,3196,1.0,0.0,11,114.0
France,10,8,35.0,0,0.0,3,1,F,False,False,False,True,3199,0.0,0.0,11,141.0
United_Kingdom,12,8,7.0,0,0.0,0,0,F,True,False,True,True,2853,0.0,0.0,7,9.0
Germany,10,8,2.0,0,0.0,3,0,F,False,False,False,True,3198,0.0,1.0,38,23.0
United_Kingdom,13,11,10.0,6,57.0,1,9,M,True,False,True,True,2854,57.0,6.0,0,10.0
Italy,52,8,26.0,84,99.0,0,0,M,True,False,True,True,3195,99.0,84.0,38,54.0
France,10,8,36.0,0,0.0,0,0,F,True,False,True,True,2854,0.0,1.0,16,147.0
United_States,10,8,4.0,0,0.0,1,0,F,True,False,True,True,3203,1.0,0.0,29,57.0
France,10,8,36.0,0,0.0,10,0,F,False,False,False,True,3202,0.0,0.0,15,114.0
Spain,10,8,12.0,0,0.0,2,0,M,False,False,False,True,3195,1.0,1.0,5,79.0
United_States,10,8,4.0,0,0.0,1,0,F,True,False,True,True,3195,1.0,0.0,28,63.0
Italy,10,8,26.0,0,0.0,0,0,F,True,False,True,True,2859,1.0,0.0,73,71.0
United_States,10,9,4.0,0,0.0,0,0,M,True,False,True,True,2857,0.0,0.0,16,68.0
United_States,12,8,4.0,0,0.0,0,0,F,False,False,False,True,3197,-4.0,0.0,24,49.0
France,10,10,34.0,0,0.0,1,6,M,True,False,True,True,3201,0.0,0.0,11,116.0
France,10,8,35.0,0,0.0,0,0,M,True,False,True,True,3201,0.0,0.0,13,110.0
France,12,11,37.0,0,0.0,9,1,F,True,False,True,True,2853,1.0,0.0,13,114.0
Italy,13,8,31.0,0,0.0,3,1,F,False,False,False,True,3203,0.0,0.0,55,76.0
United_States,18,18,5.0,0,0.0,1,0,M,False,False,False,True,3199,0.0,0.0,34,61.0
Germany,25,11,0.0,11,100.0,2,2,F,False,False,False,False,3195,100.0,12.0,33,27.0
Spain,10,8,13.0,0,0.0,3,0,F,True,False,True,True,3202,1.0,0.0,99,59.0
Italy,17,8,29.0,1,0.0,0,0,F,True,False,True,False,3198,0.0,0.0,63,77.0
Italy,69,209,32.0,10,100.0,11,0,F,True,False,True,False,3201,100.0,11.0,82,98.0
Germany,10,12,1.0,0,0.0,5,0,F,False,False,False,True,3205,0.0,0.0,33,22.0
United_Kingdom,11,8,6.0,3,100.0,0,0,F,False,False,False,True,3195,99.0,2.0,14,9.0
Italy,14,8,29.0,13,84.0,0,0,F,True,True,False,True,3197,84.0,13.0,97,82.0
Spain,14,8,16.0,3,0.0,0,0,M,True,True,False,True,3196,0.0,2.0,4,88.0
United_Kingdom,10,8,6.0,0,0.0,6,0,F,False,False,False,True,2859,0.0,0.0,99,6.0
United_States,10,8,4.0,0,0.0,0,0,M,False,False,False,True,2853,-9.0,1.0,19,69.0
United_Kingdom,23,9,11.0,5,0.0,47,7,M,True,False,True,True,3204,0.0,5.0,5,11.0
Italy,13,8,29.0,0,0.0,0,0,F,True,False,True,False,2855,0.0,0.0,60,64.0
Spain,12,8,13.0,0,0.0,15,1,M,False,False,False,True,2859,0.0,0.0,7,66.0
United_States,49,9,4.0,9,0.0,0,0,M,True,False,True,False,3195,0.0,9.0,30,70.0
United_Kingdom,49,8,5.0,29,86.0,0,0,F,True,False,True,True,3197,86.0,29.0,20,38.0
United_Kingdom,11,8,5.0,0,0.0,0,1,F,False,False,False,True,3200,0.0,1.0,9,9.0
France,10,8,41.0,0,0.0,0,0,F,False,False,False,True,3195,0.0,0.0,14,99.0
France,10,8,37.0,0,0.0,0,0,F,True,False,True,True,3198,1.0,0.0,14,164.0
France,10,8,33.0,0,0.0,5,1,M,False,False,False,True,2853,0.0,1.0,11,78.0
United_States,10,8,4.0,0,0.0,0,0,F,False,False,False,True,3205,0.0,0.0,15,71.0
Italy,13,12,27.0,1,0.0,446,8,F,False,False,False,True,3198,1.0,1.0,74,85.0
United_Kingdom,11,9,6.0,0,0.0,0,0,M,True,False,True,True,2856,-4.0,0.0,24,6.0
United_States,10,8,4.0,0,0.0,4,0,F,True,True,False,True,3200,1.0,0.0,23,33.0
Italy,10,8,28.0,0,0.0,1,0,M,True,False,True,False,3199,1.0,1.0,47,60.0
United_States,10,8,4.0,0,0.0,9,0,F,False,False,False,True,3196,0.0,0.0,95,55.0
Italy,21,8,28.0,11,100.0,0,0,M,True,True,False,True,3200,99.0,11.0,42,85.0
Germany,14,8,1.0,0,0.0,0,0,F,True,False,True,False,2856,0.0,0.0,33,24.0
United_States,10,8,4.0,0,0.0,3,0,M,False,False,False,True,3203,0.0,0.0,16,56.0
France,28,9,37.0,4,50.0,0,1,M,False,False,False,True,3204,50.0,4.0,15,103.0
Italy,10,9,26.0,0,0.0,2,0,F,True,False,True,True,2859,0.0,1.0,41,84.0
Italy,10,8,27.0,0,0.0,0,0,M,True,False,True,True,2855,0.0,0.0,79,66.0
United_States,11,8,4.0,0,0.0,2,4,M,False,False,False,True,2855,0.0,1.0,98,62.0
Italy,10,8,25.0,0,0.0,0,0,M,True,True,False,True,3201,1.0,0.0,68,98.0
United_Kingdom,16,10,5.0,0,0.0,7,0,M,False,False,False,True,3204,1.0,0.0,8,67.0
United_Kingdom,10,8,7.0,0,0.0,0,0,F,True,False,True,True,3196,0.0,0.0,22,-0.0
United_Kingdom,10,8,12.0,0,0.0,0,0,F,False,False,False,True,3199,0.0,0.0,25,10.0
Germany,14,8,1.0,0,0.0,10,2,F,True,False,True,True,3204,0.0,0.0,27,23.0
United_States,12,8,4.0,0,0.0,4,0,M,False,False,False,True,2852,0.0,0.0,8,65.0
Spain,10,8,18.0,0,0.0,258,0,M,True,False,True,True,2853,0.0,1.0,4,67.0
United_Kingdom,10,8,8.0,0,0.0,0,0,M,True,False,True,True,2857,0.0,0.0,28,16.0
France,18,8,38.0,4,0.0,0,0,F,True,False,True,False,2852,0.0,5.0,15,113.0
Germany,12,8,2.0,0,0.0,0,6,F,True,False,True,False,2856,-4.0,1.0,27,17.0
Germany,10,9,0.0,0,0.0,3,0,M,False,False,False,True,3195,0.0,0.0,26,18.0
France,10,8,43.0,0,0.0,4,0,M,False,False,False,True,2853,0.0,0.0,15,120.0
United_States,11,8,5.0,0,0.0,0,1,M,True,False,True,True,3201,0.0,0.0,6,66.0
United_States,10,8,4.0,0,0.0,3,0,F,False,False,False,True,3200,0.0,0.0,26,47.0
France,16,9,43.0,0,0.0,6,1,M,True,False,True,True,3204,109.0,0.0,14,79.0
United_Kingdom,11,9,3.0,0,0.0,6,0,F,False,False,False,True,2856,0.0,0.0,19,13.0
United_States,10,8,4.0,0,0.0,4,0,M,False,False,False,True,2854,0.0,0.0,21,60.0
Spain,18,8,14.0,9,100.0,0,0,F,True,False,True,True,3196,100.0,9.0,3,80.0
United_States,13,8,4.0,0,0.0,17,1,F,False,False,False,False,2854,1.0,0.0,18,67.0
United_States,10,8,4.0,0,0.0,0,0,M,True,True,False,True,3199,1.0,1.0,20,64.0
Germany,10,8,1.0,0,0.0,0,0,F,True,False,True,True,2858,0.0,0.0,36,94.0
United_Kingdom,17,8,3.0,2,100.0,0,0,M,False,False,False,True,2857,100.0,2.0,10,114.0
United_Kingdom,11,8,7.0,0,0.0,0,1,M,True,False,True,True,3197,0.0,0.0,6,12.0
United_States,14,12,4.0,0,0.0,183,9,M,True,False,True,True,2859,0.0,0.0,29,40.0
Spain,10,10,15.0,0,0.0,1,0,F,True,False,True,True,2853,1.0,0.0,99,53.0
Italy,12,9,31.0,3,66.0,5,0,M,True,False,True,True,3202,66.0,3.0,66,98.0
Germany,37,8,2.0,33,96.0,97,1,F,False,False,False,False,2857,95.0,33.0,21,24.0
United_Kingdom,10,8,8.0,0,0.0,18,0,F,True,False,True,True,3196,0.0,0.0,3,14.0
United_Kingdom,11,9,6.0,0,0.0,23,0,F,True,False,True,True,3201,0.0,0.0,2,8.0
France,10,8,38.0,0,0.0,0,0,M,False,False,False,True,3203,0.0,0.0,15,97.0
Spain,11,8,14.0,0,0.0,4,0,F,False,False,False,True,3197,1.0,0.0,0,164.0
United_States,11,9,4.0,1,0.0,4,3,F,True,False,True,True,3195,0.0,2.0,14,64.0
United_States,10,8,4.0,0,0.0,0,0,F,False,False,False,True,3205,0.0,0.0,5,73.0
Spain,10,8,13.0,0,0.0,1,0,F,False,False,False,True,3196,0.0,1.0,0,66.0
Italy,10,8,27.0,0,0.0,0,0,F,True,False,True,True,3195,0.0,0.0,62,64.0
United_Kingdom,11,8,7.0,1,0.0,11,0,F,True,False,True,True,2852,0.0,1.0,18,11.0
Italy,45,100,26.0,6,0.0,286,8,F,True,False,True,False,3196,1.0,5.0,83,70.0
France,10,8,36.0,0,0.0,0,1,M,False,False,False,True,2858,1.0,1.0,13,126.0
United_States,10,8,4.0,0,0.0,0,0,F,False,False,False,True,2853,0.0,0.0,17,60.0
United_Kingdom,10,8,7.0,0,0.0,0,0,M,True,False,True,True,2855,0.0,0.0,23,7.0
France,10,8,40.0,0,0.0,0,0,F,False,False,False,True,2853,1.0,0.0,13,100.0
France,11,8,44.0,1,0.0,113,5,F,False,False,False,True,2855,0.0,1.0,12,143.0
United_States,10,9,5.0,0,0.0,20,0,F,False,False,False,True,2852,0.0,0.0,5,73.0
Germany,10,8,1.0,0,0.0,2,0,F,False,False,False,True,3201,0.0,1.0,27,17.0
United_States,16,9,5.0,0,0.0,0,0,F,True,False,True,False,3198,0.0,0.0,18,46.0
Germany,10,8,1.0,0,0.0,6,5,F,True,False,True,True,3196,1.0,1.0,36,20.0
Germany,11,8,1.0,0,0.0,1,2,F,True,False,True,True,2858,0.0,0.0,18,28.0
Italy,10,8,31.0,0,0.0,0,0,F,False,False,False,True,2852,0.0,0.0,83,114.0
Spain,12,8,11.0,0,0.0,7,0,F,False,False,False,True,3198,1.0,1.0,1,48.0
United_Kingdom,16,8,6.0,10,83.0,0,0,M,True,False,True,True,3205,83.0,9.0,7,10.0
Italy,10,8,27.0,0,0.0,24,0,F,False,False,False,True,2852,0.0,0.0,78,68.0
United_States,10,8,4.0,0,0.0,0,0,F,True,False,True,True,3198,0.0,0.0,13,86.0
United_States,10,8,5.0,0,0.0,34,0,M,True,True,False,True,3201,0.0,0.0,4,61.0
Spain,12,8,12.0,0,0.0,4,1,F,False,False,False,True,2857,0.0,0.0,7,51.0
France,10,8,38.0,0,0.0,0,0,F,True,False,True,True,3199,0.0,1.0,16,107.0
France,10,8,35.0,0,0.0,0,1,F,True,False,True,True,2859,0.0,0.0,15,140.0
Germany,10,8,1.0,0,0.0,43,0,F,False,False,False,True,2857,1.0,0.0,32,25.0
France,10,8,34.0,0,0.0,0,0,M,False,False,False,True,3200,1.0,0.0,10,48.0
United_Kingdom,37,9,3.0,7,0.0,0,0,M,True,False,True,False,3204,0.0,7.0,12,9.0
United_States,10,11,4.0,0,0.0,45,3,F,True,False,True,True,3202,0.0,0.0,32,32.0
Italy,10,8,28.0,0,0.0,0,0,F,False,False,False,True,3202,1.0,0.0,67,91.0
United_Kingdom,27,8,5.0,22,100.0,19,5,F,False,False,False,True,2853,100.0,22.0,15,6.0
Germany,10,8,1.0,0,0.0,0,0,F,False,False,False,True,3200,0.0,0.0,33,137.0
United_States,10,8,5.0,0,0.0,5,0,F,False,False,False,True,2859,0.0,0.0,9,57.0
United_States,10,8,5.0,0,0.0,0,0,F,True,False,True,True,2855,0.0,0.0,6,53.0
France,10,8,46.0,0,0.0,1,0,F,True,False,True,True,2855,0.0,0.0,11,138.0
Germany,12,8,0.0,0,0.0,64,4,M,False,False,False,True,2853,0.0,0.0,34,21.0
Germany,11,9,1.0,0,0.0,0,0,M,False,False,False,True,2853,0.0,0.0,35,23.0
Germany,12,13,1.0,1,0.0,103,6,M,False,False,False,True,3205,0.0,0.0,27,26.0
France,29,9,37.0,20,80.0,10,0,F,True,False,True,True,3199,80.0,18.0,11,118.0
United_States,10,8,4.0,0,0.0,13,0,M,True,False,True,True,2855,0.0,0.0,9,30.0
Italy,11,8,28.0,0,0.0,0,6,F,True,False,True,True,3200,0.0,0.0,91,67.0
United_States,10,8,5.0,0,0.0,3,0,F,True,False,True,True,3196,106.0,0.0,2,49.0
Germany,10,8,1.0,0,0.0,0,3,M,False,False,False,True,2857,0.0,0.0,24,23.0
France,12,9,39.0,0,0.0,0,1,M,True,False,True,True,2859,0.0,0.0,14,128.0
United_Kingdom,22,9,11.0,3,0.0,0,1,M,True,False,True,False,3201,1.0,4.0,14,12.0
Italy,14,8,30.0,21,100.0,0,0,M,False,False,False,False,2853,100.0,20.0,70,157.0
United_States,10,8,4.0,0,0.0,0,0,F,True,False,True,True,3198,0.0,1.0,98,65.0
Italy,10,8,27.0,0,0.0,0,0,F,True,False,True,False,3204,0.0,1.0,63,146.0
Italy,10,8,29.0,0,0.0,1,0,F,True,False,True,True,2856,0.0,0.0,51,61.0
United_States,10,8,4.0,0,0.0,0,0,F,False,False,False,True,3198,-3.0,1.0,29,58.0
Italy,10,8,30.0,0,0.0,6,0,M,False,False,False,True,2858,0.0,1.0,40,76.0
Spain,11,13,14.0,1,0.0,2,6,F,True,False,True,True,3203,0.0,2.0,0,81.0
France,12,8,41.0,0,0.0,0,1,F,True,True,False,False,2853,0.0,0.0,15,121.0
United_States,10,8,4.0,0,0.0,14,0,F,True,False,True,True,3202,0.0,1.0,15,77.0
Spain,103,0,19.0,50,96.0,214,32,F,True,False,True,False,3201,96.0,51.0,1,93.0
Italy,17,8,28.0,13,92.0,0,0,M,True,False,True,False,2859,91.0,13.0,78,75.0
United_Kingdom,10,8,10.0,0,0.0,0,0,F,False,False,False,True,3202,0.0,0.0,30,8.0
United_Kingdom,11,11,8.0,0,0.0,10,1,F,True,False,True,True,3195,0.0,0.0,14,8.0
United_States,10,8,4.0,0,0.0,86,0,M,False,False,False,True,2858,0.0,0.0,21,33.0
France,10,10,42.0,0,0.0,3,10,M,True,False,True,True,3200,0.0,1.0,14,100.0
Germany,10,8,1.0,0,0.0,0,0,F,True,True,False,True,3205,0.0,0.0,27,21.0
France,11,8,39.0,3,33.0,0,0,F,False,False,False,True,3198,33.0,3.0,15,107.0
United_Kingdom,11,8,6.0,0,0.0,1,0,F,True,True,False,True,2856,1.0,0.0,13,11.0
United_States,11,8,4.0,0,0.0,35,2,M,False,False,False,True,3203,0.0,0.0,6,117.0
United_States,10,8,4.0,0,0.0,1,1,F,False,False,False,True,3197,0.0,0.0,28,65.0
France,10,8,46.0,0,0.0,0,0,M,True,True,False,True,3205,0.0,0.0,13,125.0
Germany,11,8,1.0,0,0.0,3,2,M,False,False,False,False,3200,0.0,0.0,25,22.0
Italy,10,8,26.0,0,0.0,4,0,F,True,False,True,True,3203,0.0,0.0,59,75.0
France,13,10,38.0,0,0.0,0,3,M,True,True,True,True,2859,0.0,0.0,17,159.0
France,10,8,39.0,0,0.0,3,1,M,True,True,False,True,3205,1.0,2.0,13,168.0
United_States,10,8,4.0,0,0.0,0,0,M,True,False,True,True,3195,0.0,1.0,14,80.0
United_Kingdom,10,8,3.0,0,0.0,55,1,F,False,False,False,True,2858,0.0,0.0,26,11.0
Germany,10,8,1.0,0,0.0,20,0,F,False,False,False,True,3203,0.0,0.0,39,158.0
Spain,14,8,17.0,0,0.0,5,2,F,False,False,False,True,2855,0.0,0.0,3,73.0
Spain,17,9,12.0,10,100.0,14,0,M,True,False,True,False,3203,100.0,9.0,1,72.0
Italy,13,9,28.0,0,0.0,4,0,M,False,False,False,True,2858,0.0,0.0,69,75.0
France,10,10,38.0,0,0.0,3,5,M,True,False,True,True,3195,0.0,0.0,17,96.0
Spain,10,8,15.0,0,0.0,3,0,M,True,False,True,True,3195,0.0,1.0,4,77.0
United_States,10,8,4.0,0,0.0,0,1,F,True,False,True,True,3201,0.0,0.0,28,35.0
United_States,10,8,4.0,0,0.0,6,0,M,False,False,False,True,3198,1.0,0.0,29,67.0
Italy,11,8,32.0,0,0.0,0,0,F,True,True,False,True,3201,1.0,0.0,55,84.0
France,11,8,43.0,0,0.0,1,1,M,True,False,True,True,3196,1.0,0.0,11,151.0
France,11,8,40.0,0,0.0,0,0,M,True,True,False,True,3198,0.0,0.0,14,134.0
Germany,10,9,2.0,0,0.0,4,0,F,True,True,False,True,2859,1.0,0.0,33,20.0
Germany,10,9,1.0,0,0.0,5,1,M,True,False,True,True,2859,0.0,0.0,31,23.0
United_Kingdom,10,8,7.0,0,0.0,3,0,M,True,False,True,True,3201,0.0,0.0,5,12.0
France,10,7,46.0,0,0.0,1,2,F,True,False,True,True,3201,0.0,0.0,11,137.0
Germany,10,8,2.0,0,0.0,2,1,M,False,False,False,True,2859,0.0,0.0,37,25.0
France,10,9,41.0,0,0.0,51,9,F,False,False,False,True,3199,0.0,0.0,11,20.0
Germany,12,8,2.0,0,0.0,0,1,M,True,True,False,True,2852,1.0,0.0,30,18.0
Germany,11,10,2.0,0,0.0,0,0,F,True,False,True,True,2857,0.0,0.0,15,20.0
Italy,10,8,32.0,0,0.0,111,0,M,True,False,True,True,3197,0.0,0.0,31,90.0
France,11,9,35.0,0,0.0,0,0,F,False,False,False,True,3198,0.0,0.0,12,111.0
United_Kingdom,10,8,3.0,0,0.0,5,1,F,True,True,True,True,2856,0.0,1.0,13,16.0
Spain,10,10,17.0,0,0.0,44,3,F,False,False,False,True,2859,0.0,0.0,98,68.0
Germany,10,8,1.0,0,0.0,0,0,F,False,False,False,True,3202,0.0,0.0,48,22.0
United_States,11,9,4.0,0,0.0,16,0,F,True,False,True,True,3203,0.0,0.0,13,66.0
United_Kingdom,10,8,11.0,0,0.0,4,0,M,False,False,False,True,3203,0.0,0.0,6,10.0
France,10,8,36.0,0,0.0,0,0,M,True,False,True,True,3203,0.0,0.0,15,62.0
United_States,14,8,5.0,0,0.0,0,1,F,True,False,True,True,3204,0.0,1.0,12,41.0
Germany,13,8,1.0,6,66.0,2,0,F,True,False,True,True,2856,66.0,6.0,27,22.0
United_States,13,0,4.0,0,0.0,1,0,F,True,False,True,False,3200,0.0,0.0,14,41.0
United_States,10,8,4.0,0,0.0,8,0,F,False,False,False,True,3198,0.0,0.0,97,57.0
Italy,10,8,28.0,0,0.0,0,0,F,False,False,False,True,3203,0.0,0.0,68,64.0
Italy,65,8,26.0,50,100.0,0,0,M,False,False,False,False,3195,100.0,52.0,55,108.0
Italy,10,8,31.0,0,0.0,0,0,M,True,False,True,True,2854,0.0,0.0,81,90.0
United_States,10,8,4.0,0,0.0,1,0,F,True,True,False,True,3200,1.0,0.0,12,49.0
Germany,10,9,1.0,0,0.0,4,2,M,True,True,False,True,2853,0.0,0.0,23,24.0
Germany,10,8,1.0,0,0.0,0,0,M,True,False,True,True,3204,0.0,0.0,24,25.0
Italy,13,8,29.0,1,0.0,6,0,F,False,False,False,True,2852,1.0,1.0,4,54.0
United_States,10,8,5.0,0,0.0,1,0,M,False,False,False,True,2852,0.0,0.0,18,60.0
France,12,8,34.0,0,0.0,0,0,F,True,True,False,True,3201,0.0,0.0,13,91.0
Germany,29,71,1.0,0,0.0,36,6,M,True,False,True,True,2857,1.0,0.0,38,22.0
France,10,8,36.0,0,0.0,3,0,F,False,False,False,True,3204,1.0,0.0,14,135.0
United_States,10,8,5.0,0,0.0,6,0,F,True,False,True,True,3199,1.0,1.0,17,70.0
France,10,8,43.0,0,0.0,0,0,F,True,False,True,True,3197,0.0,0.0,10,85.0
