country,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,anom_x,anom_y,login_data
Italy,10,8,22,31.0,0,0.0,0,0,F,True,False,True,True,678,3204,1.278963010461092,0.3,56
United_States,10,8,6,5.0,0,0.0,1,0,F,True,False,True,True,670,3203,0.1,0.1,19
France,10,8,0,34.0,2,0.0,0,0,F,False,False,False,True,12,3195,0.2,2.722321363067127,12
France,10,9,4,38.0,0,0.0,0,0,M,False,False,False,True,17,3196,0.2615217632531618,0.6391691757696042,12
Spain,10,8,0,14.0,0,0.0,4,0,F,False,False,False,True,670,3196,0.8832304018420831,0.2,98
Germany,16,9,1,1.0,0,0.0,0,3,M,True,False,True,True,667,3200,0.017966644227105272,0.2976555658980723,27
Spain,12,8,1,14.0,9,66.0,3,0,M,True,False,True,True,11,2859,65.57450971117275,8.743707857961137,2
Germany,17,8,40,1.0,0,0.0,2,3,F,True,False,True,True,32,2858,0.091554649285475,0.30043011082945925,31
Italy,10,8,0,25.0,0,0.0,11,0,M,True,False,True,True,163,2858,0.8368603691598413,0.1,97
France,10,8,5,36.0,0,0.0,0,0,M,True,False,True,True,345,3200,0.1,0.8072366200680677,11
Germany,10,8,14,1.0,0,0.0,1,0,F,True,False,True,True,435,3201,-10.575978302579706,0.5412249743124598,33
United_States,10,9,55,5.0,1,0.0,1,0,F,False,False,False,True,23,2855,0.2,2.4782756677823747,92
Germany,10,8,0,1.0,0,0.0,3,0,F,True,True,False,True,594,3196,0.1,0.2,24
Germany,10,8,14,1.0,0,0.0,3,0,M,False,False,False,True,189,3202,0.12609255861972687,0.6548113134564286,25
Spain,10,8,4,15.0,0,0.0,0,0,F,True,True,False,True,690,3196,0.2,0.4333037286558708,6
France,10,8,14,42.0,0,0.0,1,0,M,True,False,True,True,662,2859,0.2,1.7222022097562917,10
Italy,10,8,0,28.0,0,0.0,15,0,F,False,False,False,True,374,3196,0.3,0.3,78
United_States,13,8,5,4.0,0,0.0,578,7,F,True,False,True,True,12,3201,0.21966403366170914,0.375905381254475,4
United_States,10,8,13,4.0,0,0.0,0,0,F,False,False,False,True,579,3200,0.4508854480256396,0.22217008216052872,16
France,14,8,1,39.0,1,0.0,3,0,F,True,False,True,False,604,2857,-8.511281975857532,1.378034627904322,14
France,29,8,21,41.0,10,100.0,0,0,M,True,False,True,False,11,3199,99.7,8.052160440149484,12
United_States,10,8,11,4.0,0,0.0,0,0,F,False,False,False,True,701,3197,0.2,0.2,27
France,10,8,6,41.0,0,0.0,0,0,M,True,False,True,True,398,3204,0.3,0.3,14
United_States,10,8,8,5.0,0,0.0,0,0,F,True,False,True,True,157,3200,0.2,0.1,87
Germany,12,8,1,1.0,0,0.0,0,4,F,False,False,False,True,632,3205,0.2148848147135136,0.3711681433288049,32
United_States,10,8,0,4.0,0,0.0,0,3,M,False,False,False,True,662,2858,0.1,0.5655329890343289,97
France,13,9,3,36.0,0,0.0,1,0,F,True,False,True,True,465,3204,0.3,0.1,11
United_States,11,8,9,5.0,0,0.0,0,0,F,False,False,False,True,655,3196,0.59165165812546,0.5087571750933878,98
France,10,8,10,39.0,0,0.0,0,0,F,False,False,False,True,76,2854,1.1066374553737166,0.2,15
United_States,12,8,0,5.0,0,0.0,0,0,F,False,False,False,True,165,2856,0.7666943332470145,0.2,25
France,10,8,7,34.0,0,0.0,0,0,F,False,False,False,True,340,3203,0.1,0.2254431352277017,16
United_Kingdom,12,8,11,8.0,0,0.0,5,1,F,True,False,True,False,75,2854,0.7928586179592634,0.3,28
France,10,8,3,39.0,0,0.0,0,0,F,False,False,False,True,409,3203,0.2,0.1,18
France,10,8,0,39.0,0,0.0,3,0,M,False,False,False,True,696,3205,0.2,0.4517345073246545,13
Germany,10,8,7,1.0,0,0.0,0,0,M,False,False,False,True,191,3201,0.4004450850360513,0.1,47
Germany,10,8,8,1.0,0,0.0,11,0,F,True,False,True,True,124,3199,0.1,0.21307564358063485,30
France,10,8,3,42.0,0,0.0,0,0,F,True,False,True,True,133,2853,0.1,0.2,16
France,10,8,5,38.0,0,0.0,10,0,F,False,False,False,True,700,3196,0.5227066965151731,0.3,11
France,10,8,0,35.0,0,0.0,3,1,F,False,False,False,True,211,3199,0.2,0.23911301831591275,11
United_Kingdom,12,8,8,7.0,0,0.0,0,0,F,True,False,True,True,654,2853,0.1,0.2433040346931114,7
Germany,10,8,13,2.0,0,0.0,3,0,F,False,False,False,True,44,3198,0.034807601734780896,0.5518623701144302,38
United_Kingdom,13,11,6,10.0,6,57.0,1,9,M,True,False,True,True,11,2854,57.45552970274184,6.157773214886731,0
Italy,52,8,0,26.0,84,98.7,0,0,M,True,False,True,True,11,3195,99.03513144315168,84.35829478845581,38
France,10,8,8,36.0,0,0.0,0,0,F,True,False,True,True,34,2854,0.2,0.6864010856496221,16
United_States,10,8,10,4.0,0,0.0,1,0,F,True,False,True,True,666,3203,0.9510518537417366,0.2,29
France,10,8,0,36.0,0,0.0,10,0,F,False,False,False,True,651,3202,0.1,0.2106947600540794,15
Spain,10,8,12,12.0,0,0.0,2,0,M,False,False,False,True,112,3195,0.7100071432246755,0.9821720762344346,5
United_States,10,8,9,4.0,0,0.0,1,0,F,True,False,True,True,263,3195,0.8478960534091566,0.1,28
Italy,10,8,10,26.0,0,0.0,0,0,F,True,False,True,True,577,2859,0.8999723681288759,0.3,73
United_States,10,9,176,4.0,0,0.0,0,0,M,True,False,True,True,671,2857,0.4957318576207994,0.2848055501598254,16
United_States,12,8,12,4.0,0,0.0,0,0,F,False,False,False,True,260,3197,-4.233701840186952,0.1,24
France,10,10,1,34.0,0,0.0,1,6,M,True,False,True,True,360,3201,0.3,0.1,11
France,10,8,5,35.0,0,0.0,0,0,M,True,False,True,True,286,3201,0.11837969937945628,0.10651492174666438,13
France,12,11,8,37.0,0,0.0,9,1,F,True,False,True,True,202,2853,0.7365424553783667,0.3979331543641249,13
Italy,13,8,18,31.0,0,0.0,3,1,F,False,False,False,True,307,3203,0.1,0.3,55
United_States,18,18,3,5.0,0,0.0,1,0,M,False,False,False,True,15,3199,0.3,0.2,34
Germany,25,11,41,0.0,11,100.0,2,2,F,False,False,False,False,11,3195,99.9,11.643845457726407,33
Spain,10,8,0,13.0,0,0.0,3,0,F,True,False,True,True,706,3202,0.8583053057518495,0.2865437423295187,99
Italy,17,8,0,29.0,1,0.0,0,0,F,True,False,True,False,621,3198,0.1,0.4743388304367995,63
Italy,69,209,1533,32.0,10,100.0,11,0,F,True,False,True,False,11,3201,99.9,11.262777625974325,82
Germany,10,12,2,1.0,0,0.0,5,0,F,False,False,False,True,11,3205,0.2280727120819305,0.1,33
United_Kingdom,11,8,0,6.0,3,100.0,0,0,F,False,False,False,True,390,3195,99.37022329666272,2.00545406710116,14
Italy,14,8,2,29.0,13,84.0,0,0,F,True,True,False,True,11,3197,83.75938144902571,12.823984558763387,97
Spain,14,8,1,16.0,3,0.0,0,0,M,True,True,False,True,88,3196,0.0038793502026394696,2.1428717696377526,4
United_Kingdom,10,8,0,6.0,0,0.0,6,0,F,False,False,False,True,684,2859,0.4584611355408165,0.2,99
United_States,10,8,39,4.0,0,0.0,0,0,M,False,False,False,True,692,2853,-8.542316828320395,0.7515577941252486,19
United_Kingdom,23,9,373,11.0,5,0.0,47,7,M,True,False,True,True,362,3204,0.12323136444127013,5.492106060202482,5
Italy,13,8,0,29.0,0,0.0,0,0,F,True,False,True,False,14,2855,0.31239028949666153,0.2,60
Spain,12,8,29,13.0,0,0.0,15,1,M,False,False,False,True,14,2859,0.0520065749981799,0.1,7
United_States,49,9,0,4.0,9,0.0,0,0,M,True,False,True,False,690,3195,0.1,8.63780039808204,30
United_Kingdom,49,8,0,5.0,29,86.0,0,0,F,True,False,True,True,15,3197,86.24821547738291,28.67490617372114,20
United_Kingdom,11,8,4,5.0,0,0.0,0,1,F,False,False,False,True,122,3200,0.4856718889753793,0.7350620736224428,9
France,10,8,32,41.0,0,0.0,0,0,F,False,False,False,True,14,3195,0.1,0.2,14
France,10,8,5,37.0,0,0.0,0,0,F,True,False,True,True,679,3198,0.5369059537401172,0.2223270000884393,14
France,10,8,0,33.0,0,0.0,5,1,M,False,False,False,True,687,2853,0.3,0.9939009795076263,11
United_States,10,8,3,4.0,0,0.0,0,0,F,False,False,False,True,361,3205,0.1,0.4656078618628268,15
Italy,13,12,52,27.0,1,0.0,446,8,F,False,False,False,True,11,3198,1.1134208935617391,0.9504607893367424,74
United_Kingdom,11,9,18,6.0,0,0.0,0,0,M,True,False,True,True,283,2856,-4.424528355332585,0.16206852971427993,24
United_States,10,8,5,4.0,0,0.0,4,0,F,True,True,False,True,529,3200,0.7922066584828543,0.1,23
Italy,10,8,4,28.0,0,0.0,1,0,M,True,False,True,False,61,3199,0.5570153428936702,0.5067169443391483,47
United_States,10,8,16,4.0,0,0.0,9,0,F,False,False,False,True,13,3196,0.3,0.2,95
Italy,21,8,1,28.0,11,100.0,0,0,M,True,True,False,True,11,3200,99.30363974513864,10.93094693119514,42
Germany,14,8,7,1.0,0,0.0,0,0,F,True,False,True,False,15,2856,0.3,0.1,33
United_States,10,8,2,4.0,0,0.0,3,0,M,False,False,False,True,707,3203,0.2,0.3,16
France,28,9,0,37.0,4,50.0,0,1,M,False,False,False,True,119,3204,49.82493016114459,4.1407478380221034,15
Italy,10,9,131,26.0,0,0.0,2,0,F,True,False,True,True,20,2859,0.12663031019847806,1.4798450993559245,41
Italy,10,8,6,27.0,0,0.0,0,0,M,True,False,True,True,576,2855,0.3,0.1,79
United_States,11,8,18,4.0,0,0.0,2,4,M,False,False,False,True,110,2855,0.2,0.8839308567934107,98
Italy,10,8,4,25.0,0,0.0,0,0,M,True,True,False,True,30,3201,0.5577188739102483,0.3,68
United_Kingdom,16,10,4,5.0,0,0.0,7,0,M,False,False,False,True,484,3204,1.0943607663714825,0.008862312919950528,8
United_Kingdom,10,8,7,7.0,0,0.0,0,0,F,True,False,True,True,338,3196,0.3,0.030766775925185456,22
United_Kingdom,10,8,10,12.0,0,0.0,0,0,F,False,False,False,True,213,3199,0.35794256192935586,0.2,25
Germany,14,8,29,1.0,0,0.0,10,2,F,True,False,True,True,15,3204,0.1,0.1,27
United_States,12,8,0,4.0,0,0.0,4,0,M,False,False,False,True,671,2852,0.4680153775364249,0.1047476508179886,8
Spain,10,8,61,18.0,0,0.0,258,0,M,True,False,True,True,13,2853,0.2,1.0817328556129826,4
United_Kingdom,10,8,3,8.0,0,0.0,0,0,M,True,False,True,True,680,2857,0.1658362428544664,0.1,28
France,18,8,0,38.0,4,0.0,0,0,F,True,False,True,False,96,2852,0.2,4.582415099300742,15
Germany,12,8,8,2.0,0,0.0,0,6,F,True,False,True,False,13,2856,-3.731043243562875,0.6367581845157072,27
Germany,10,9,0,0.0,0,0.0,3,0,M,False,False,False,True,642,3195,0.3347213654868023,0.3,26
France,10,8,1,43.0,0,0.0,4,0,M,False,False,False,True,691,2853,0.2,0.3,15
United_States,11,8,100,5.0,0,0.0,0,1,M,True,False,True,True,661,3201,0.2,0.18426603061638952,6
United_States,10,8,0,4.0,0,0.0,3,0,F,False,False,False,True,131,3200,0.4249957447082176,0.4489706271365656,26
France,16,9,17,43.0,0,0.0,6,1,M,True,False,True,True,365,3204,109.22670692311284,0.3,14
United_Kingdom,11,9,5,3.0,0,0.0,6,0,F,False,False,False,True,192,2856,0.2,0.1,19
United_States,10,8,0,4.0,0,0.0,4,0,M,False,False,False,True,685,2854,0.2,0.2,21
Spain,18,8,1,14.0,9,100.0,0,0,F,True,False,True,True,15,3196,99.8,8.929947884576462,3
United_States,13,8,18,4.0,0,0.0,17,1,F,False,False,False,False,439,2854,0.6561169231770883,0.1,18
United_States,10,8,10,4.0,0,0.0,0,0,M,True,True,False,True,697,3199,0.6892651872673662,0.5728700285713587,20
Germany,10,8,3,1.0,0,0.0,0,0,F,True,False,True,True,665,2858,0.2,0.09739421803671043,36
United_Kingdom,17,8,0,3.0,2,100.0,0,0,M,False,False,False,True,633,2857,99.71818212618344,1.50687637822788,10
United_Kingdom,11,8,8,7.0,0,0.0,0,1,M,True,False,True,True,139,3197,0.1,0.2,6
United_States,14,12,642,4.0,0,0.0,183,9,M,True,False,True,True,20,2859,0.23302392591024024,0.2,29
Spain,10,10,69,15.0,0,0.0,1,0,F,True,False,True,True,86,2853,0.6591416968336967,0.1,99
Italy,12,9,41,31.0,3,66.0,5,0,M,True,False,True,True,12,3202,66.34065496381828,3.0846457014738373,66
Germany,37,8,16,2.0,33,96.0,97,1,F,False,False,False,False,12,2857,95.373972606326,32.94575461973181,21
United_Kingdom,10,8,19,8.0,0,0.0,18,0,F,True,False,True,True,71,3196,0.1,0.1,3
United_Kingdom,11,9,0,6.0,0,0.0,23,0,F,True,False,True,True,202,3201,0.2,0.3808960801550714,2
France,10,8,12,38.0,0,0.0,0,0,M,False,False,False,True,14,3203,0.05647379517996401,0.2,15
Spain,11,8,0,14.0,0,0.0,4,0,F,False,False,False,True,175,3197,1.4452415090273243,0.4610902393787393,0
United_States,11,9,118,4.0,1,0.0,4,3,F,True,False,True,True,14,3195,0.1,2.3271554974785458,14
United_States,10,8,5,4.0,0,0.0,0,0,F,False,False,False,True,709,3205,0.3,0.4947458992836738,5
Spain,10,8,4,13.0,0,0.0,1,0,F,False,False,False,True,661,3196,0.4018533505480708,0.8165349056370919,0
Italy,10,8,4,27.0,0,0.0,0,0,F,True,False,True,True,694,3195,0.2,0.2,62
United_Kingdom,11,8,4,7.0,1,0.0,11,0,F,True,False,True,True,20,2852,0.3570963493526357,1.0401313623616637,18
Italy,45,100,862,26.0,6,0.0,286,8,F,True,False,True,False,11,3196,0.8961051485115414,5.261916894276472,83
France,10,8,10,36.0,0,0.0,0,1,M,False,False,False,True,287,2858,0.5391737404815372,0.8943451172772399,13
United_States,10,8,9,4.0,0,0.0,0,0,F,False,False,False,True,13,2853,0.09848973525598112,0.3,17
United_Kingdom,10,8,18,7.0,0,0.0,0,0,M,True,False,True,True,468,2855,0.4332835281998345,0.3,23
France,10,8,3,40.0,0,0.0,0,0,F,False,False,False,True,449,2853,0.9043939105173922,0.3,13
France,11,8,9,44.0,1,0.0,113,5,F,False,False,False,True,14,2855,0.3,1.2022289336887817,12
United_States,10,9,0,5.0,0,0.0,20,0,F,False,False,False,True,261,2852,0.3,0.1,5
Germany,10,8,3,1.0,0,0.0,2,0,F,False,False,False,True,696,3201,0.4287143052915007,0.8474432527838637,27
United_States,16,9,6,5.0,0,0.0,0,0,F,True,False,True,False,181,3198,0.1,0.3,18
Germany,10,8,43,1.0,0,0.0,6,5,F,True,False,True,True,29,3196,0.7169687721434673,0.5250766583334016,36
Germany,11,8,9,1.0,0,0.0,1,2,F,True,False,True,True,12,2858,0.2,0.2099905103386979,18
Italy,10,8,3,31.0,0,0.0,0,0,F,False,False,False,True,16,2852,0.1,0.1,83
Spain,12,8,0,11.0,0,0.0,7,0,F,False,False,False,True,28,3198,0.5860303292785473,0.7480100006031946,1
United_Kingdom,16,8,0,6.0,10,83.0,0,0,M,True,False,True,True,32,3205,83.3501998186334,9.193377558200927,7
Italy,10,8,1,27.0,0,0.0,24,0,F,False,False,False,True,56,2852,0.17356117548464406,0.05560639282363712,78
United_States,10,8,7,4.0,0,0.0,0,0,F,True,False,True,True,702,3198,0.4805132806342921,0.1,13
United_States,10,8,0,5.0,0,0.0,34,0,M,True,True,False,True,662,3201,0.2310179636375821,0.3,4
Spain,12,8,12,12.0,0,0.0,4,1,F,False,False,False,True,184,2857,0.1,0.2,7
France,10,8,24,38.0,0,0.0,0,0,F,True,False,True,True,11,3199,0.16887685234788524,0.5892749212980487,16
France,10,8,4,35.0,0,0.0,0,1,F,True,False,True,True,661,2859,0.2,0.1,15
Germany,10,8,0,1.0,0,0.0,43,0,F,False,False,False,True,425,2857,0.7167169243223767,0.3,32
France,10,8,19,34.0,0,0.0,0,0,M,False,False,False,True,354,3200,0.5797783318806502,0.3106713311276307,10
United_Kingdom,37,9,21,3.0,7,0.0,0,0,M,True,False,True,False,76,3204,0.15330794840870673,7.327763160672553,12
United_States,10,11,77,4.0,0,0.0,45,3,F,True,False,True,True,191,3202,0.2,0.06351356428279245,32
Italy,10,8,19,28.0,0,0.0,0,0,F,False,False,False,True,609,3202,1.0341008852647222,0.4223865484279968,67
United_Kingdom,27,8,203,5.0,22,100.0,19,5,F,False,False,False,True,14,2853,99.7,21.672128566506228,15
Germany,10,8,13,1.0,0,0.0,0,0,F,False,False,False,True,562,3200,0.3,0.1,33
United_States,10,8,2,5.0,0,0.0,5,0,F,False,False,False,True,25,2859,0.2,0.2,9
United_States,10,8,7,5.0,0,0.0,0,0,F,True,False,True,True,540,2855,0.1,0.4143024746659516,6
France,10,8,3,46.0,0,0.0,1,0,F,True,False,True,True,17,2855,0.10999983436683514,0.023735176271112463,11
Germany,12,8,0,0.0,0,0.0,64,4,M,False,False,False,True,11,2853,0.2,0.1,34
Germany,11,9,5,1.0,0,0.0,0,0,M,False,False,False,True,692,2853,0.2,0.14623421690264582,35
Germany,12,13,2,1.0,1,0.0,103,6,M,False,False,False,True,17,3205,0.4547708412302394,0.2,27
France,29,9,8,37.0,20,80.0,10,0,F,True,False,True,True,11,3199,80.29062878409489,18.36199483386313,11
United_States,10,8,28,4.0,0,0.0,13,0,M,True,False,True,True,693,2855,0.1,0.4386645589531441,9
Italy,11,8,31,28.0,0,0.0,0,6,F,True,False,True,True,86,3200,0.2,0.06176359580214068,91
United_States,10,8,26,5.0,0,0.0,3,0,F,True,False,True,True,647,3196,105.81431378389769,0.3,2
Germany,10,8,1,1.0,0,0.0,0,3,M,False,False,False,True,696,2857,0.4136168913022452,0.25460496977697583,24
France,12,9,10,39.0,0,0.0,0,1,M,True,False,True,True,12,2859,0.07737918652344931,0.3,14
United_Kingdom,22,9,2,11.0,3,0.0,0,1,M,True,False,True,False,244,3201,0.5565305212468252,3.863407441462332,14
Italy,14,8,4,30.0,21,100.0,0,0,M,False,False,False,False,11,2853,99.83872268675287,19.87202625767347,70
United_States,10,8,5,4.0,0,0.0,0,0,F,True,False,True,True,36,3198,0.2,0.620289702932036,98
Italy,10,8,13,27.0,0,0.0,0,0,F,True,False,True,False,24,3204,0.4811771470856674,1.456438617211162,63
Italy,10,8,9,29.0,0,0.0,1,0,F,True,False,True,True,535,2856,0.1,0.23293907639697475,51
United_States,10,8,4,4.0,0,0.0,0,0,F,False,False,False,True,17,3198,-3.1674310277659163,0.7583376369181982,29
Italy,10,8,0,30.0,0,0.0,6,0,M,False,False,False,True,697,2858,0.3,0.7179542430556012,40
Spain,11,13,142,14.0,1,0.0,2,6,F,True,False,True,True,11,3203,0.494891288532078,2.1011312917866443,0
France,12,8,6,41.0,0,0.0,0,1,F,True,True,False,False,66,2853,0.05811820721301603,0.3,15
United_States,10,8,13,4.0,0,0.0,14,0,F,True,False,True,True,374,3202,0.09156543942720996,0.6323804020094608,15
Spain,103,0,3,19.0,50,96.0,214,32,F,True,False,True,False,13,3201,95.89887805756113,50.54901849592458,1
Italy,17,8,2,28.0,13,92.3,0,0,M,True,False,True,False,12,2859,91.32778352309879,13.073047931833091,78
United_Kingdom,10,8,3,10.0,0,0.0,0,0,F,False,False,False,True,36,3202,0.3,0.3,30
United_Kingdom,11,11,35,8.0,0,0.0,10,1,F,True,False,True,True,14,3195,0.13589138880475882,0.06653379869172624,14
United_States,10,8,6,4.0,0,0.0,86,0,M,False,False,False,True,30,2858,0.0740875911186282,0.3,21
France,10,10,11,42.0,0,0.0,3,10,M,True,False,True,True,434,3200,0.3,0.7470535310342318,14
Germany,10,8,5,1.0,0,0.0,0,0,F,True,True,False,True,381,3205,0.3,0.2,27
France,11,8,1,39.0,3,33.0,0,0,F,False,False,False,True,84,3198,32.617945587136695,3.2059797828355583,15
United_Kingdom,11,8,6,6.0,0,0.0,1,0,F,True,True,False,True,443,2856,0.5181969548978472,0.22575276777462025,13
United_States,11,8,28,4.0,0,0.0,35,2,M,False,False,False,True,39,3203,0.1214504418636025,0.2,6
United_States,10,8,3,4.0,0,0.0,1,1,F,False,False,False,True,167,3197,0.1,0.1,28
France,10,8,33,46.0,0,0.0,0,0,M,True,True,False,True,709,3205,0.009872007466016923,0.3,13
Germany,11,8,36,1.0,0,0.0,3,2,M,False,False,False,False,28,3200,0.03236242240274708,0.2,25
Italy,10,8,4,26.0,0,0.0,4,0,F,True,False,True,True,577,3203,0.4041545391980881,0.2,59
France,13,10,6,38.0,0,0.0,0,3,M,True,True,True,True,578,2859,0.1,0.2,17
France,10,8,1,39.0,0,0.0,3,1,M,True,True,False,True,340,3205,1.1180916763795634,1.8257909313771847,13
United_States,10,8,3,4.0,0,0.0,0,0,M,True,False,True,True,210,3195,0.3558468528212648,1.1500879756123574,14
United_Kingdom,10,8,10,3.0,0,0.0,55,1,F,False,False,False,True,14,2858,0.049945373244391814,0.3,26
Germany,10,8,1,1.0,0,0.0,20,0,F,False,False,False,True,179,3203,0.3,0.1,39
Spain,14,8,1,17.0,0,0.0,5,2,F,False,False,False,True,576,2855,0.2,0.1,3
Spain,17,9,35,12.0,10,100.0,14,0,M,True,False,True,False,12,3203,99.85620538019306,9.439414980846939,1
Italy,13,9,1,28.0,0,0.0,4,0,M,False,False,False,True,566,2858,0.4841404981175091,0.10173016673489556,69
France,10,10,8,38.0,0,0.0,3,5,M,True,False,True,True,63,3195,0.0017543020958600151,0.2374559673299183,17
Spain,10,8,0,15.0,0,0.0,3,0,M,True,False,True,True,45,3195,0.1,1.1910330752800156,4
United_States,10,8,3,4.0,0,0.0,0,1,F,True,False,True,True,501,3201,0.3,0.02909605665138344,28
United_States,10,8,0,4.0,0,0.0,6,0,M,False,False,False,True,701,3198,0.8615319318565794,0.2,29
Italy,11,8,7,32.0,0,0.0,0,0,F,True,True,False,True,645,3201,0.5432744069778876,0.052246989521340964,55
France,11,8,5,43.0,0,0.0,1,1,M,True,False,True,True,11,3196,0.8513803403269136,0.3,11
France,11,8,7,40.0,0,0.0,0,0,M,True,True,False,True,673,3198,0.3,0.09464759246129592,14
Germany,10,9,0,2.0,0,0.0,4,0,F,True,True,False,True,262,2859,0.7467126209029671,0.1,33
Germany,10,9,49,1.0,0,0.0,5,1,M,True,False,True,True,11,2859,0.2,0.3757001484912064,31
United_Kingdom,10,8,3,7.0,0,0.0,3,0,M,True,False,True,True,191,3201,0.2940600429618005,0.4894631245733466,5
France,10,7,12,46.0,0,0.0,1,2,F,True,False,True,True,394,3201,0.2,0.29289213503523104,11
Germany,10,8,9,2.0,0,0.0,2,1,M,False,False,False,True,14,2859,0.1,0.04987816428536096,37
