country,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,anom_x,anom_y,login_data,likes
Germany,10,8,14,1.0,0,0.0,1,0,F,True,False,True,True,435,3201,-10.575978302579706,0.5412249743124598,33,17.738182809930294
United_States,10,9,55,5.0,1,0.0,1,0,F,False,False,False,True,23,2855,0.2,2.4782756677823747,92,86.61951601069171
Germany,10,8,0,1.0,0,0.0,3,0,F,True,True,False,True,594,3196,0.1,0.2,24,19.60716174341993
Germany,10,8,14,1.0,0,0.0,3,0,M,False,False,False,True,189,3202,0.12609255861972687,0.6548113134564286,25,22.496364824551215
Spain,10,8,4,15.0,0,0.0,0,0,F,True,True,False,True,690,3196,0.2,0.4333037286558708,6,52.696212153719166
France,10,8,14,42.0,0,0.0,1,0,M,True,False,True,True,662,2859,0.2,1.7222022097562917,10,71.63795287106517
Italy,10,8,0,28.0,0,0.0,15,0,F,False,False,False,True,374,3196,0.3,0.3,78,79.04037126575886
United_States,13,8,5,4.0,0,0.0,578,7,F,True,False,True,True,12,3201,0.21966403366170914,0.375905381254475,4,50.674226522578444
United_States,10,8,13,4.0,0,0.0,0,0,F,False,False,False,True,579,3200,0.4508854480256396,0.22217008216052872,16,65.47794627155257
France,14,8,1,39.0,1,0.0,3,0,F,True,False,True,False,604,2857,-8.511281975857532,1.378034627904322,14,150.70876551875185
France,29,8,21,41.0,10,100.0,0,0,M,True,False,True,False,11,3199,99.7,8.052160440149484,12,163.75304809728243
United_States,10,8,11,4.0,0,0.0,0,0,F,False,False,False,True,701,3197,0.2,0.2,27,52.75297818382646
France,10,8,6,41.0,0,0.0,0,0,M,True,False,True,True,398,3204,0.3,0.3,14,124.92172463838111
United_States,10,8,8,5.0,0,0.0,0,0,F,True,False,True,True,157,3200,0.2,0.1,87,71.48797903764545
Germany,12,8,1,1.0,0,0.0,0,4,F,False,False,False,True,632,3205,0.2148848147135136,0.3711681433288049,32,22.425496859386914
United_States,10,8,0,4.0,0,0.0,0,3,M,False,False,False,True,662,2858,0.1,0.5655329890343289,97,55.41957545789876
France,13,9,3,36.0,0,0.0,1,0,F,True,False,True,True,465,3204,0.3,0.1,11,108.91438571147194
United_States,11,8,9,5.0,0,0.0,0,0,F,False,False,False,True,655,3196,0.59165165812546,0.5087571750933878,98,68.29069783938156
France,10,8,10,39.0,0,0.0,0,0,F,False,False,False,True,76,2854,1.1066374553737166,0.2,15,80.0
United_States,12,8,0,5.0,0,0.0,0,0,F,False,False,False,True,165,2856,0.7666943332470145,0.2,25,129.0
France,10,8,7,34.0,0,0.0,0,0,F,False,False,False,True,340,3203,0.1,0.2254431352277017,16,148.94527406556057
United_Kingdom,12,8,11,8.0,0,0.0,5,1,F,True,False,True,False,75,2854,0.7928586179592634,0.3,28,5.26544332227715
France,10,8,3,39.0,0,0.0,0,0,F,False,False,False,True,409,3203,0.2,0.1,18,109.88499510175603
France,10,8,0,39.0,0,0.0,3,0,M,False,False,False,True,696,3205,0.2,0.4517345073246545,13,78.7477862190294
Germany,10,8,7,1.0,0,0.0,0,0,M,False,False,False,True,191,3201,0.4004450850360513,0.1,47,27.20613470095424
Germany,10,8,8,1.0,0,0.0,11,0,F,True,False,True,True,124,3199,0.1,0.21307564358063485,30,22.74635424639826
France,10,8,3,42.0,0,0.0,0,0,F,True,False,True,True,133,2853,0.1,0.2,16,146.52304503699722
France,10,8,5,38.0,0,0.0,10,0,F,False,False,False,True,700,3196,0.5227066965151731,0.3,11,113.99484162175214
France,10,8,0,35.0,0,0.0,3,1,F,False,False,False,True,211,3199,0.2,0.23911301831591275,11,141.4332653648333
United_Kingdom,12,8,8,7.0,0,0.0,0,0,F,True,False,True,True,654,2853,0.1,0.2433040346931114,7,8.667499978530035
Germany,10,8,13,2.0,0,0.0,3,0,F,False,False,False,True,44,3198,0.034807601734780896,0.5518623701144302,38,22.706591938384395
United_Kingdom,13,11,6,10.0,6,57.0,1,9,M,True,False,True,True,11,2854,57.45552970274184,6.157773214886731,0,9.785091406931812
Italy,52,8,0,26.0,84,98.7,0,0,M,True,False,True,True,11,3195,99.03513144315168,84.35829478845581,38,54.26210640902694
France,10,8,8,36.0,0,0.0,0,0,F,True,False,True,True,34,2854,0.2,0.6864010856496221,16,146.8579763529548
United_States,10,8,10,4.0,0,0.0,1,0,F,True,False,True,True,666,3203,0.9510518537417366,0.2,29,56.51718367526253
France,10,8,0,36.0,0,0.0,10,0,F,False,False,False,True,651,3202,0.1,0.2106947600540794,15,114.28249661127421
Spain,10,8,12,12.0,0,0.0,2,0,M,False,False,False,True,112,3195,0.7100071432246755,0.9821720762344346,5,79.48407279080921
United_States,10,8,9,4.0,0,0.0,1,0,F,True,False,True,True,263,3195,0.8478960534091566,0.1,28,63.12197814647053
Italy,10,8,10,26.0,0,0.0,0,0,F,True,False,True,True,577,2859,0.8999723681288759,0.3,73,71.4193734091827
United_States,10,9,176,4.0,0,0.0,0,0,M,True,False,True,True,671,2857,0.4957318576207994,0.2848055501598254,16,68.377174726362
United_States,12,8,12,4.0,0,0.0,0,0,F,False,False,False,True,260,3197,-4.233701840186952,0.1,24,48.58279086598631
France,10,10,1,34.0,0,0.0,1,6,M,True,False,True,True,360,3201,0.3,0.1,11,116.20232484552646
France,10,8,5,35.0,0,0.0,0,0,M,True,False,True,True,286,3201,0.11837969937945628,0.10651492174666438,13,110.0858518037013
France,12,11,8,37.0,0,0.0,9,1,F,True,False,True,True,202,2853,0.7365424553783667,0.3979331543641249,13,113.59109258364252
Italy,13,8,18,31.0,0,0.0,3,1,F,False,False,False,True,307,3203,0.1,0.3,55,76.33447893169905
United_States,18,18,3,5.0,0,0.0,1,0,M,False,False,False,True,15,3199,0.3,0.2,34,60.55813298916843
Germany,25,11,41,0.0,11,100.0,2,2,F,False,False,False,False,11,3195,99.9,11.643845457726407,33,26.921853154418876
Spain,10,8,0,13.0,0,0.0,3,0,F,True,False,True,True,706,3202,0.8583053057518495,0.2865437423295187,99,58.70944958005393
Italy,17,8,0,29.0,1,0.0,0,0,F,True,False,True,False,621,3198,0.1,0.4743388304367995,63,77.29718630696726
Italy,69,209,1533,32.0,10,100.0,11,0,F,True,False,True,False,11,3201,99.9,11.262777625974325,82,97.51057095043716
Germany,10,12,2,1.0,0,0.0,5,0,F,False,False,False,True,11,3205,0.2280727120819305,0.1,33,21.802000889308708
United_Kingdom,11,8,0,6.0,3,100.0,0,0,F,False,False,False,True,390,3195,99.37022329666272,2.00545406710116,14,9.427066858267715
Italy,14,8,2,29.0,13,84.0,0,0,F,True,True,False,True,11,3197,83.75938144902571,12.823984558763387,97,82.41794714430604
Spain,14,8,1,16.0,3,0.0,0,0,M,True,True,False,True,88,3196,0.0038793502026394696,2.1428717696377526,4,88.25906474414504
United_Kingdom,10,8,0,6.0,0,0.0,6,0,F,False,False,False,True,684,2859,0.4584611355408165,0.2,99,5.787780860204955
United_States,10,8,39,4.0,0,0.0,0,0,M,False,False,False,True,692,2853,-8.542316828320395,0.7515577941252486,19,69.0
United_Kingdom,23,9,373,11.0,5,0.0,47,7,M,True,False,True,True,362,3204,0.12323136444127013,5.492106060202482,5,11.08021367388887
Italy,13,8,0,29.0,0,0.0,0,0,F,True,False,True,False,14,2855,0.31239028949666153,0.2,60,63.594006449212856
Spain,12,8,29,13.0,0,0.0,15,1,M,False,False,False,True,14,2859,0.0520065749981799,0.1,7,66.00789534184229
United_States,49,9,0,4.0,9,0.0,0,0,M,True,False,True,False,690,3195,0.1,8.63780039808204,30,70.23995255028434
United_Kingdom,49,8,0,5.0,29,86.0,0,0,F,True,False,True,True,15,3197,86.24821547738291,28.67490617372114,20,38.0
United_Kingdom,11,8,4,5.0,0,0.0,0,1,F,False,False,False,True,122,3200,0.4856718889753793,0.7350620736224428,9,9.287821013474854
France,10,8,32,41.0,0,0.0,0,0,F,False,False,False,True,14,3195,0.1,0.2,14,98.53726561274605
France,10,8,5,37.0,0,0.0,0,0,F,True,False,True,True,679,3198,0.5369059537401172,0.2223270000884393,14,164.0
France,10,8,0,33.0,0,0.0,5,1,M,False,False,False,True,687,2853,0.3,0.9939009795076263,11,78.35459090178152
United_States,10,8,3,4.0,0,0.0,0,0,F,False,False,False,True,361,3205,0.1,0.4656078618628268,15,71.49090521211807
Italy,13,12,52,27.0,1,0.0,446,8,F,False,False,False,True,11,3198,1.1134208935617391,0.9504607893367424,74,85.27901781627504
United_Kingdom,11,9,18,6.0,0,0.0,0,0,M,True,False,True,True,283,2856,-4.424528355332585,0.16206852971427993,24,5.969807332153588
United_States,10,8,5,4.0,0,0.0,4,0,F,True,True,False,True,529,3200,0.7922066584828543,0.1,23,33.0
Italy,10,8,4,28.0,0,0.0,1,0,M,True,False,True,False,61,3199,0.5570153428936702,0.5067169443391483,47,59.774234880268565
United_States,10,8,16,4.0,0,0.0,9,0,F,False,False,False,True,13,3196,0.3,0.2,95,55.240788842374236
Italy,21,8,1,28.0,11,100.0,0,0,M,True,True,False,True,11,3200,99.30363974513864,10.93094693119514,42,84.80836692736055
Germany,14,8,7,1.0,0,0.0,0,0,F,True,False,True,False,15,2856,0.3,0.1,33,23.530950242462335
United_States,10,8,2,4.0,0,0.0,3,0,M,False,False,False,True,707,3203,0.2,0.3,16,55.99691733598337
France,28,9,0,37.0,4,50.0,0,1,M,False,False,False,True,119,3204,49.82493016114459,4.1407478380221034,15,103.35234528705448
Italy,10,9,131,26.0,0,0.0,2,0,F,True,False,True,True,20,2859,0.12663031019847806,1.4798450993559245,41,83.61085932740416
Italy,10,8,6,27.0,0,0.0,0,0,M,True,False,True,True,576,2855,0.3,0.1,79,65.7729912361018
United_States,11,8,18,4.0,0,0.0,2,4,M,False,False,False,True,110,2855,0.2,0.8839308567934107,98,62.486990241305115
Italy,10,8,4,25.0,0,0.0,0,0,M,True,True,False,True,30,3201,0.5577188739102483,0.3,68,97.75856467528223
United_Kingdom,16,10,4,5.0,0,0.0,7,0,M,False,False,False,True,484,3204,1.0943607663714825,0.008862312919950528,8,67.0
United_Kingdom,10,8,7,7.0,0,0.0,0,0,F,True,False,True,True,338,3196,0.3,0.030766775925185456,22,-0.14222349035746795
United_Kingdom,10,8,10,12.0,0,0.0,0,0,F,False,False,False,True,213,3199,0.35794256192935586,0.2,25,10.49561994442833
Germany,14,8,29,1.0,0,0.0,10,2,F,True,False,True,True,15,3204,0.1,0.1,27,23.028795675787894
United_States,12,8,0,4.0,0,0.0,4,0,M,False,False,False,True,671,2852,0.4680153775364249,0.1047476508179886,8,64.8917673851769
Spain,10,8,61,18.0,0,0.0,258,0,M,True,False,True,True,13,2853,0.2,1.0817328556129826,4,67.47939466309852
United_Kingdom,10,8,3,8.0,0,0.0,0,0,M,True,False,True,True,680,2857,0.1658362428544664,0.1,28,16.09241898987466
France,18,8,0,38.0,4,0.0,0,0,F,True,False,True,False,96,2852,0.2,4.582415099300742,15,113.3482055894103
Germany,12,8,8,2.0,0,0.0,0,6,F,True,False,True,False,13,2856,-3.731043243562875,0.6367581845157072,27,16.53755663431115
Germany,10,9,0,0.0,0,0.0,3,0,M,False,False,False,True,642,3195,0.3347213654868023,0.3,26,17.631178651420896
France,10,8,1,43.0,0,0.0,4,0,M,False,False,False,True,691,2853,0.2,0.3,15,120.36162297897499
United_States,11,8,100,5.0,0,0.0,0,1,M,True,False,True,True,661,3201,0.2,0.18426603061638952,6,66.126042125823
United_States,10,8,0,4.0,0,0.0,3,0,F,False,False,False,True,131,3200,0.4249957447082176,0.4489706271365656,26,47.094164737005215
France,16,9,17,43.0,0,0.0,6,1,M,True,False,True,True,365,3204,109.22670692311284,0.3,14,79.18774699287147
United_Kingdom,11,9,5,3.0,0,0.0,6,0,F,False,False,False,True,192,2856,0.2,0.1,19,12.969404814468986
United_States,10,8,0,4.0,0,0.0,4,0,M,False,False,False,True,685,2854,0.2,0.2,21,60.05976256268464
Spain,18,8,1,14.0,9,100.0,0,0,F,True,False,True,True,15,3196,99.8,8.929947884576462,3,79.60412425747796
United_States,13,8,18,4.0,0,0.0,17,1,F,False,False,False,False,439,2854,0.6561169231770883,0.1,18,66.93690261825101
United_States,10,8,10,4.0,0,0.0,0,0,M,True,True,False,True,697,3199,0.6892651872673662,0.5728700285713587,20,63.968695079652875
Germany,10,8,3,1.0,0,0.0,0,0,F,True,False,True,True,665,2858,0.2,0.09739421803671043,36,94.0
United_Kingdom,17,8,0,3.0,2,100.0,0,0,M,False,False,False,True,633,2857,99.71818212618344,1.50687637822788,10,114.0
United_Kingdom,11,8,8,7.0,0,0.0,0,1,M,True,False,True,True,139,3197,0.1,0.2,6,12.175065146836763
United_States,14,12,642,4.0,0,0.0,183,9,M,True,False,True,True,20,2859,0.23302392591024024,0.2,29,40.0
Spain,10,10,69,15.0,0,0.0,1,0,F,True,False,True,True,86,2853,0.6591416968336967,0.1,99,53.0
Italy,12,9,41,31.0,3,66.0,5,0,M,True,False,True,True,12,3202,66.34065496381828,3.0846457014738373,66,98.28479090034722
Germany,37,8,16,2.0,33,96.0,97,1,F,False,False,False,False,12,2857,95.373972606326,32.94575461973181,21,24.015054178117452
United_Kingdom,10,8,19,8.0,0,0.0,18,0,F,True,False,True,True,71,3196,0.1,0.1,3,13.845968217931256
United_Kingdom,11,9,0,6.0,0,0.0,23,0,F,True,False,True,True,202,3201,0.2,0.3808960801550714,2,8.081032470316519
France,10,8,12,38.0,0,0.0,0,0,M,False,False,False,True,14,3203,0.05647379517996401,0.2,15,96.76961898584418
Spain,11,8,0,14.0,0,0.0,4,0,F,False,False,False,True,175,3197,1.4452415090273243,0.4610902393787393,0,164.0
United_States,11,9,118,4.0,1,0.0,4,3,F,True,False,True,True,14,3195,0.1,2.3271554974785458,14,63.54827300835068
United_States,10,8,5,4.0,0,0.0,0,0,F,False,False,False,True,709,3205,0.3,0.4947458992836738,5,72.86565330475182
Spain,10,8,4,13.0,0,0.0,1,0,F,False,False,False,True,661,3196,0.4018533505480708,0.8165349056370919,0,66.21250266319902
Italy,10,8,4,27.0,0,0.0,0,0,F,True,False,True,True,694,3195,0.2,0.2,62,64.47147622488642
United_Kingdom,11,8,4,7.0,1,0.0,11,0,F,True,False,True,True,20,2852,0.3570963493526357,1.0401313623616637,18,10.788452085010451
Italy,45,100,862,26.0,6,0.0,286,8,F,True,False,True,False,11,3196,0.8961051485115414,5.261916894276472,83,70.42083501237761
France,10,8,10,36.0,0,0.0,0,1,M,False,False,False,True,287,2858,0.5391737404815372,0.8943451172772399,13,125.84228959757729
United_States,10,8,9,4.0,0,0.0,0,0,F,False,False,False,True,13,2853,0.09848973525598112,0.3,17,59.57432377021946
United_Kingdom,10,8,18,7.0,0,0.0,0,0,M,True,False,True,True,468,2855,0.4332835281998345,0.3,23,7.371995794422112
France,10,8,3,40.0,0,0.0,0,0,F,False,False,False,True,449,2853,0.9043939105173922,0.3,13,99.58218343176787
France,11,8,9,44.0,1,0.0,113,5,F,False,False,False,True,14,2855,0.3,1.2022289336887817,12,142.54598768504405
United_States,10,9,0,5.0,0,0.0,20,0,F,False,False,False,True,261,2852,0.3,0.1,5,72.5742804362605
Germany,10,8,3,1.0,0,0.0,2,0,F,False,False,False,True,696,3201,0.4287143052915007,0.8474432527838637,27,17.4857251363744
United_States,16,9,6,5.0,0,0.0,0,0,F,True,False,True,False,181,3198,0.1,0.3,18,46.48708477111847
Germany,10,8,43,1.0,0,0.0,6,5,F,True,False,True,True,29,3196,0.7169687721434673,0.5250766583334016,36,19.86081231174784
Germany,11,8,9,1.0,0,0.0,1,2,F,True,False,True,True,12,2858,0.2,0.2099905103386979,18,28.070246042958203
Italy,10,8,3,31.0,0,0.0,0,0,F,False,False,False,True,16,2852,0.1,0.1,83,114.0
Spain,12,8,0,11.0,0,0.0,7,0,F,False,False,False,True,28,3198,0.5860303292785473,0.7480100006031946,1,48.07519573098141
United_Kingdom,16,8,0,6.0,10,83.0,0,0,M,True,False,True,True,32,3205,83.3501998186334,9.193377558200927,7,10.338090176209906
Italy,10,8,1,27.0,0,0.0,24,0,F,False,False,False,True,56,2852,0.17356117548464406,0.05560639282363712,78,68.07561167669162
United_States,10,8,7,4.0,0,0.0,0,0,F,True,False,True,True,702,3198,0.4805132806342921,0.1,13,85.71056910382586
United_States,10,8,0,5.0,0,0.0,34,0,M,True,True,False,True,662,3201,0.2310179636375821,0.3,4,61.39478943220285
Spain,12,8,12,12.0,0,0.0,4,1,F,False,False,False,True,184,2857,0.1,0.2,7,50.829441752257566
France,10,8,24,38.0,0,0.0,0,0,F,True,False,True,True,11,3199,0.16887685234788524,0.5892749212980487,16,107.10992637458799
France,10,8,4,35.0,0,0.0,0,1,F,True,False,True,True,661,2859,0.2,0.1,15,139.6748502386863
Germany,10,8,0,1.0,0,0.0,43,0,F,False,False,False,True,425,2857,0.7167169243223767,0.3,32,25.0416624171876
France,10,8,19,34.0,0,0.0,0,0,M,False,False,False,True,354,3200,0.5797783318806502,0.3106713311276307,10,47.52162066026263
United_Kingdom,37,9,21,3.0,7,0.0,0,0,M,True,False,True,False,76,3204,0.15330794840870673,7.327763160672553,12,8.635658437937952
United_States,10,11,77,4.0,0,0.0,45,3,F,True,False,True,True,191,3202,0.2,0.06351356428279245,32,32.0
Italy,10,8,19,28.0,0,0.0,0,0,F,False,False,False,True,609,3202,1.0341008852647222,0.4223865484279968,67,90.64340959598205
United_Kingdom,27,8,203,5.0,22,100.0,19,5,F,False,False,False,True,14,2853,99.7,21.672128566506228,15,6.471436623208872
Germany,10,8,13,1.0,0,0.0,0,0,F,False,False,False,True,562,3200,0.3,0.1,33,137.0
United_States,10,8,2,5.0,0,0.0,5,0,F,False,False,False,True,25,2859,0.2,0.2,9,56.567388674856616
United_States,10,8,7,5.0,0,0.0,0,0,F,True,False,True,True,540,2855,0.1,0.4143024746659516,6,53.0
France,10,8,3,46.0,0,0.0,1,0,F,True,False,True,True,17,2855,0.10999983436683514,0.023735176271112463,11,137.7000311502412
Germany,12,8,0,0.0,0,0.0,64,4,M,False,False,False,True,11,2853,0.2,0.1,34,21.189743809862193
Germany,11,9,5,1.0,0,0.0,0,0,M,False,False,False,True,692,2853,0.2,0.14623421690264582,35,23.162981643852884
Germany,12,13,2,1.0,1,0.0,103,6,M,False,False,False,True,17,3205,0.4547708412302394,0.2,27,25.810235782264265
France,29,9,8,37.0,20,80.0,10,0,F,True,False,True,True,11,3199,80.29062878409489,18.36199483386313,11,117.5727230497896
United_States,10,8,28,4.0,0,0.0,13,0,M,True,False,True,True,693,2855,0.1,0.4386645589531441,9,29.83835609276959
Italy,11,8,31,28.0,0,0.0,0,6,F,True,False,True,True,86,3200,0.2,0.06176359580214068,91,67.48950240545663
United_States,10,8,26,5.0,0,0.0,3,0,F,True,False,True,True,647,3196,105.81431378389769,0.3,2,49.48378402287181
Germany,10,8,1,1.0,0,0.0,0,3,M,False,False,False,True,696,2857,0.4136168913022452,0.25460496977697583,24,22.697456052271257
France,12,9,10,39.0,0,0.0,0,1,M,True,False,True,True,12,2859,0.07737918652344931,0.3,14,127.9946927005645
United_Kingdom,22,9,2,11.0,3,0.0,0,1,M,True,False,True,False,244,3201,0.5565305212468252,3.863407441462332,14,11.627574352333319
Italy,14,8,4,30.0,21,100.0,0,0,M,False,False,False,False,11,2853,99.83872268675287,19.87202625767347,70,157.0
United_States,10,8,5,4.0,0,0.0,0,0,F,True,False,True,True,36,3198,0.2,0.620289702932036,98,65.29798055764061
Italy,10,8,13,27.0,0,0.0,0,0,F,True,False,True,False,24,3204,0.4811771470856674,1.456438617211162,63,146.0
Italy,10,8,9,29.0,0,0.0,1,0,F,True,False,True,True,535,2856,0.1,0.23293907639697475,51,60.63376849625529
United_States,10,8,4,4.0,0,0.0,0,0,F,False,False,False,True,17,3198,-3.1674310277659163,0.7583376369181982,29,58.022870645668085
Italy,10,8,0,30.0,0,0.0,6,0,M,False,False,False,True,697,2858,0.3,0.7179542430556012,40,75.60743418447386
Spain,11,13,142,14.0,1,0.0,2,6,F,True,False,True,True,11,3203,0.494891288532078,2.1011312917866443,0,81.05805959026642
France,12,8,6,41.0,0,0.0,0,1,F,True,True,False,False,66,2853,0.05811820721301603,0.3,15,121.48578221582079
United_States,10,8,13,4.0,0,0.0,14,0,F,True,False,True,True,374,3202,0.09156543942720996,0.6323804020094608,15,77.08869737066621
Spain,103,0,3,19.0,50,96.0,214,32,F,True,False,True,False,13,3201,95.89887805756113,50.54901849592458,1,92.5805068203019
Italy,17,8,2,28.0,13,92.3,0,0,M,True,False,True,False,12,2859,91.32778352309879,13.073047931833091,78,75.0
United_Kingdom,10,8,3,10.0,0,0.0,0,0,F,False,False,False,True,36,3202,0.3,0.3,30,8.439136323657008
